mca_registration,gstin,cin,iso_certification,pan_number,tan_number,msme_registration,shop_license,import_export_code,professional_tax,website_quality,domain_age,ssl_certificate,linkedin_profile,glassdoor_reviews,employee_count,turnover,contact_number,office_address,epf_registration,website_quality_dup,email_domain,linkedin_activity,scam_reports,job_platform,salary_realism,upfront_payment,description_quality,interview_process,comm_channels,has_company_logo,has_questions,social_media,employee_reviews,physical_address,epf_registration_dup,fssai_license,sebi_approval,description,fraudulent
No,None,No,No,Yes,Yes,No,No,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Active,Few,Indeed,Realistic,Yes,Average,Video,Call,No,Has Questions,Active,Positive,None,Yes,Yes,No,Job opening in finance. CA preferred. Salary competitive,1
Yes,Yes,None,No,None,Yes,Yes,Yes,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Inactive,None,Naukri,High,Yes,Poor,None,Email,No,Has Questions,Inactive,Positive,Present,Yes,None,Yes,Frontend developer required - html css js,0
No,None,No,Yes,None,No,No,Yes,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Active,Few,Naukri,High,No,Poor,Video,WhatsApp,No,Has Questions,Inactive,Negative,None,No,None,No,Frontend developer required - html css js,1
None,No,Yes,None,Yes,None,Yes,Yes,No,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,Many,Indeed,Realistic,Yes,Poor,Phone,Email,No,Has Questions,Inactive,Positive,None,Yes,None,No,Looking for software engineer with 2+ years experience in python and django,0
Yes,No,No,Yes,No,No,Yes,None,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,Few,LinkedIn,High,Yes,Poor,None,WhatsApp,No,Has Questions,Inactive,None,None,Yes,None,None,Looking for software engineer with 2+ years experience in python and django,0
Yes,None,No,Yes,Yes,No,None,No,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,None,WhatsApp,High,Yes,Poor,Video,Call,No,Has Questions,Inactive,None,None,No,No,None,Looking for software engineer with 2+ years experience in python and django,1
None,Yes,Yes,No,None,No,None,None,Yes,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Active,Few,Telegram,Realistic,Yes,Poor,Phone,Telegram,Yes,Has Questions,Active,Positive,Present,No,No,Yes,Urgent requirement for developer. Apply now with resume,0
No,No,Yes,No,None,None,None,No,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,None,WhatsApp,High,Yes,Good,In-Person,Call,No,Has Questions,Active,None,None,Yes,Yes,Yes,Urgent requirement for developer. Apply now with resume,0
Yes,None,Yes,None,Yes,Yes,No,No,Yes,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Yahoo,Inactive,Many,Telegram,Realistic,No,Good,Video,Telegram,Yes,Has Questions,Active,Positive,None,No,No,Yes,Looking for software engineer with 2+ years experience in python and django,0
Yes,No,Yes,No,No,Yes,None,No,Yes,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Yahoo,Active,None,Telegram,Low,No,Good,Video,Email,No,Has Questions,Inactive,None,None,Yes,Yes,Yes,Looking for software engineer with 2+ years experience in python and django,1
Yes,No,No,No,No,No,Yes,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Inactive,Few,Indeed,High,No,Good,Phone,Email,No,Has Questions,Inactive,Positive,None,No,None,Yes,Job opening in finance. CA preferred. Salary competitive,1
Yes,No,No,None,None,None,None,Yes,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Inactive,Few,LinkedIn,High,Yes,Average,None,WhatsApp,No,Has Questions,Active,Negative,Present,No,Yes,No,Frontend developer required - html css js,1
Yes,None,Yes,No,Yes,None,None,None,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Active,Few,Naukri,Low,Yes,Poor,In-Person,WhatsApp,Yes,Has Questions,Active,Positive,Present,No,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
No,No,None,No,Yes,No,No,None,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,Few,Telegram,Low,Yes,Average,In-Person,Call,No,Has Questions,Inactive,None,Present,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,0
No,None,None,None,No,Yes,No,Yes,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,Few,WhatsApp,Low,Yes,Good,Video,Telegram,No,Has Questions,Inactive,Negative,Present,No,Yes,Yes,Frontend developer required - html css js,1
None,Yes,Yes,Yes,None,Yes,Yes,No,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Active,None,Naukri,Low,Yes,Good,None,WhatsApp,Yes,Has Questions,Inactive,Positive,Present,Yes,None,None,Urgent requirement for developer. Apply now with resume,0
None,No,None,No,None,None,Yes,No,No,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Active,Many,Naukri,High,No,Poor,Phone,Call,No,Has Questions,Active,Positive,Present,Yes,No,No,Looking for software engineer with 2+ years experience in python and django,0
None,None,No,Yes,None,Yes,None,No,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,None,Telegram,High,Yes,Average,Video,Telegram,Yes,Has Questions,Active,None,Present,No,No,None,Hiring marketing executive with good comm skills and sales experience,1
Yes,Yes,None,No,Yes,None,Yes,None,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Inactive,Many,Indeed,Realistic,Yes,Average,None,WhatsApp,Yes,Has Questions,Active,Negative,None,Yes,No,None,Looking for software engineer with 2+ years experience in python and django,1
None,No,No,None,Yes,None,Yes,No,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Outlook,Inactive,Many,LinkedIn,Realistic,No,Average,Video,Telegram,No,Has Questions,Inactive,Positive,Present,Yes,None,Yes,Hiring marketing executive with good comm skills and sales experience,0
No,None,No,No,None,None,No,No,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Inactive,Few,LinkedIn,High,No,Average,Video,Telegram,No,Has Questions,Active,Positive,Present,No,Yes,None,Job opening in finance. CA preferred. Salary competitive,1
None,No,No,No,No,No,None,No,No,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Outlook,Active,Many,Indeed,Realistic,No,Poor,In-Person,Call,Yes,Has Questions,Inactive,None,None,Yes,Yes,Yes,Job opening in finance. CA preferred. Salary competitive,0
No,Yes,No,Yes,No,None,None,None,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Outlook,Active,None,LinkedIn,High,Yes,Average,Video,Telegram,Yes,Has Questions,Active,Positive,Present,Yes,No,Yes,Frontend developer required - html css js,1
Yes,No,Yes,None,None,Yes,No,None,None,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Gmail,Inactive,Many,Naukri,Low,No,Good,Phone,Call,No,Has Questions,Inactive,Negative,Present,Yes,None,None,Job opening in finance. CA preferred. Salary competitive,0
No,No,Yes,None,No,None,None,None,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,Few,LinkedIn,High,Yes,Average,In-Person,WhatsApp,Yes,Has Questions,Active,Negative,Present,No,None,No,Job opening in finance. CA preferred. Salary competitive,0
No,None,No,Yes,None,None,None,No,None,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Active,None,WhatsApp,Realistic,Yes,Good,Video,Telegram,Yes,Has Questions,Inactive,Positive,Present,No,No,No,Frontend developer required - html css js,1
None,Yes,None,Yes,Yes,Yes,Yes,No,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Inactive,None,LinkedIn,Low,Yes,Average,Phone,Call,No,Has Questions,Active,None,Present,No,No,No,Frontend developer required - html css js,1
Yes,None,None,No,Yes,None,No,None,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Active,None,LinkedIn,High,No,Poor,In-Person,Telegram,No,Has Questions,Inactive,None,None,Yes,None,None,Frontend developer required - html css js,1
None,None,None,No,None,No,None,None,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Gmail,Active,Few,Naukri,Low,Yes,Poor,In-Person,Email,Yes,Has Questions,Inactive,None,Present,No,No,Yes,Frontend developer required - html css js,0
No,Yes,No,None,None,Yes,None,None,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Active,None,Naukri,High,No,Poor,In-Person,Email,No,Has Questions,Inactive,Positive,Present,No,None,Yes,Job opening in finance. CA preferred. Salary competitive,0
Yes,None,None,No,None,No,None,None,None,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Inactive,None,WhatsApp,High,No,Good,Video,Call,No,Has Questions,Inactive,Positive,Present,No,No,None,Looking for software engineer with 2+ years experience in python and django,0
Yes,Yes,No,No,Yes,Yes,Yes,Yes,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Inactive,Few,Indeed,Low,Yes,Good,In-Person,Telegram,No,Has Questions,Active,None,None,No,None,Yes,Urgent requirement for developer. Apply now with resume,1
None,None,None,No,No,None,No,None,Yes,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Active,Few,Telegram,Realistic,No,Poor,Video,Telegram,No,Has Questions,Inactive,None,None,Yes,No,Yes,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,Yes,None,Yes,Yes,No,No,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Active,Few,Naukri,Realistic,Yes,Average,None,Telegram,Yes,Has Questions,Inactive,Positive,Present,Yes,None,None,Looking for software engineer with 2+ years experience in python and django,1
No,Yes,None,None,None,Yes,None,Yes,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Yahoo,Active,Many,Naukri,Low,Yes,Poor,None,WhatsApp,No,Has Questions,Inactive,Negative,None,Yes,Yes,None,Hiring marketing executive with good comm skills and sales experience,0
None,None,None,None,None,None,Yes,Yes,None,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,Few,WhatsApp,Realistic,No,Poor,Video,WhatsApp,No,Has Questions,Active,Negative,Present,No,Yes,No,Hiring marketing executive with good comm skills and sales experience,1
None,Yes,Yes,No,Yes,None,None,Yes,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Inactive,Few,Naukri,Low,No,Average,Video,Email,Yes,Has Questions,Inactive,Negative,Present,No,None,Yes,Frontend developer required - html css js,0
Yes,No,None,Yes,No,Yes,Yes,None,No,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Company Domain,Inactive,Few,Indeed,High,No,Good,Video,WhatsApp,Yes,Has Questions,Inactive,Negative,None,No,None,No,Looking for software engineer with 2+ years experience in python and django,0
No,No,None,Yes,Yes,Yes,Yes,None,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Inactive,None,Naukri,High,No,Good,In-Person,Email,Yes,Has Questions,Active,None,Present,No,None,No,Frontend developer required - html css js,1
None,No,None,No,No,Yes,None,None,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Inactive,None,Naukri,High,Yes,Good,Video,Telegram,No,Has Questions,Inactive,Negative,None,Yes,None,None,Hiring marketing executive with good comm skills and sales experience,0
None,No,None,None,No,None,No,Yes,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,Few,Telegram,Realistic,No,Poor,None,Call,Yes,Has Questions,Active,Negative,None,No,None,No,Job opening in finance. CA preferred. Salary competitive,0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,None,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Outlook,Active,Many,Telegram,Low,No,Good,None,Telegram,Yes,Has Questions,Active,Positive,None,Yes,No,Yes,Hiring marketing executive with good comm skills and sales experience,0
Yes,No,None,No,Yes,No,Yes,None,None,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Inactive,Few,Indeed,High,Yes,Poor,None,Call,Yes,Has Questions,Inactive,None,Present,No,No,None,Looking for software engineer with 2+ years experience in python and django,1
Yes,Yes,No,No,Yes,None,Yes,Yes,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Active,None,Telegram,Low,Yes,Average,Phone,Email,Yes,Has Questions,Inactive,None,Present,No,None,None,Hiring marketing executive with good comm skills and sales experience,1
None,None,Yes,No,None,Yes,Yes,Yes,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Inactive,None,Naukri,Low,No,Good,Phone,Telegram,No,Has Questions,Inactive,Negative,Present,No,Yes,Yes,Hiring marketing executive with good comm skills and sales experience,0
None,Yes,Yes,Yes,None,No,No,No,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Inactive,None,Naukri,High,No,Average,In-Person,Call,Yes,Has Questions,Active,Negative,None,Yes,None,Yes,Hiring marketing executive with good comm skills and sales experience,1
No,No,None,Yes,No,Yes,Yes,Yes,None,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Yahoo,Active,None,Indeed,High,Yes,Poor,In-Person,Telegram,No,Has Questions,Inactive,Positive,Present,No,Yes,None,Job opening in finance. CA preferred. Salary competitive,0
None,No,Yes,No,Yes,Yes,No,No,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Yahoo,Active,Many,Naukri,High,Yes,Poor,Phone,Call,No,Has Questions,Inactive,None,Present,Yes,Yes,None,Frontend developer required - html css js,1
None,No,Yes,Yes,Yes,No,No,No,No,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Inactive,Many,Telegram,Realistic,Yes,Good,None,Call,No,Has Questions,Inactive,Negative,None,No,Yes,Yes,Urgent requirement for developer. Apply now with resume,1
No,Yes,None,Yes,None,Yes,Yes,Yes,No,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,Few,WhatsApp,Realistic,No,Good,Phone,Telegram,Yes,Has Questions,Inactive,Negative,Present,Yes,Yes,Yes,Frontend developer required - html css js,1
None,Yes,Yes,No,None,No,None,None,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Active,Few,LinkedIn,Low,Yes,Poor,In-Person,Email,No,Has Questions,Active,Positive,Present,No,No,None,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,Yes,Yes,No,No,No,None,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Inactive,Many,Naukri,Realistic,No,Poor,Video,Email,Yes,Has Questions,Active,Negative,Present,Yes,None,Yes,Job opening in finance. CA preferred. Salary competitive,0
Yes,No,No,Yes,None,Yes,No,No,No,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Gmail,Active,Many,Telegram,Realistic,Yes,Good,In-Person,Email,Yes,Has Questions,Active,None,Present,No,None,None,Looking for software engineer with 2+ years experience in python and django,0
Yes,Yes,No,None,Yes,None,Yes,None,No,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Active,None,Indeed,Low,No,Poor,None,Call,Yes,Has Questions,Active,Negative,Present,Yes,Yes,None,Job opening in finance. CA preferred. Salary competitive,0
No,Yes,No,Yes,Yes,None,None,Yes,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,None,Naukri,Low,No,Poor,In-Person,Call,No,Has Questions,Inactive,None,None,No,Yes,Yes,Hiring marketing executive with good comm skills and sales experience,1
Yes,Yes,None,Yes,No,Yes,No,No,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Gmail,Active,None,WhatsApp,Realistic,No,Good,In-Person,Telegram,No,Has Questions,Active,Positive,None,Yes,None,None,Urgent requirement for developer. Apply now with resume,0
No,None,No,No,Yes,None,None,No,Yes,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Inactive,Few,Telegram,High,No,Good,Phone,WhatsApp,Yes,Has Questions,Inactive,None,Present,No,None,None,Frontend developer required - html css js,1
Yes,None,None,None,None,No,None,None,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Inactive,None,LinkedIn,Low,Yes,Average,Video,WhatsApp,Yes,Has Questions,Active,Negative,None,No,No,Yes,Urgent requirement for developer. Apply now with resume,1
No,None,Yes,No,No,None,Yes,None,No,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Active,None,WhatsApp,Realistic,No,Good,In-Person,WhatsApp,Yes,Has Questions,Active,None,Present,Yes,No,Yes,Urgent requirement for developer. Apply now with resume,0
No,Yes,No,None,No,Yes,None,No,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Active,None,WhatsApp,Realistic,No,Good,Video,Call,Yes,Has Questions,Inactive,Positive,None,No,No,None,Hiring marketing executive with good comm skills and sales experience,1
Yes,None,None,Yes,None,None,None,None,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Active,None,WhatsApp,High,No,Good,In-Person,Telegram,No,Has Questions,Active,Negative,None,No,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
Yes,None,Yes,None,No,Yes,Yes,Yes,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Outlook,Inactive,None,Naukri,Low,No,Average,None,Call,Yes,Has Questions,Inactive,Negative,Present,Yes,No,Yes,Looking for software engineer with 2+ years experience in python and django,1
No,Yes,No,Yes,Yes,None,No,None,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Inactive,None,LinkedIn,Realistic,Yes,Good,None,Call,Yes,Has Questions,Inactive,None,Present,No,No,No,Looking for software engineer with 2+ years experience in python and django,0
No,No,None,Yes,No,Yes,No,No,Yes,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Active,None,Naukri,Realistic,No,Good,In-Person,WhatsApp,Yes,Has Questions,Active,Positive,Present,No,Yes,Yes,Looking for software engineer with 2+ years experience in python and django,0
Yes,Yes,No,No,No,None,Yes,Yes,Yes,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Yahoo,Active,Few,Naukri,Low,Yes,Good,None,Telegram,Yes,Has Questions,Inactive,None,Present,Yes,No,None,Urgent requirement for developer. Apply now with resume,0
Yes,No,No,No,No,Yes,None,Yes,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,Many,LinkedIn,Realistic,Yes,Good,Video,Email,No,Has Questions,Inactive,Positive,None,Yes,None,Yes,Looking for software engineer with 2+ years experience in python and django,1
Yes,No,None,Yes,Yes,No,Yes,None,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Inactive,Few,Naukri,Low,Yes,Average,In-Person,Telegram,Yes,Has Questions,Active,None,Present,No,None,No,Frontend developer required - html css js,1
No,Yes,No,Yes,No,No,None,Yes,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Inactive,Few,Telegram,High,No,Good,Video,Telegram,Yes,Has Questions,Active,None,Present,No,Yes,None,Frontend developer required - html css js,0
None,No,No,Yes,None,None,Yes,No,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Active,Few,WhatsApp,High,Yes,Average,None,WhatsApp,Yes,Has Questions,Inactive,Negative,Present,Yes,No,None,Looking for software engineer with 2+ years experience in python and django,1
No,No,None,No,Yes,None,None,Yes,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Inactive,Many,Telegram,High,Yes,Good,Video,Call,No,Has Questions,Inactive,Negative,Present,No,No,Yes,Frontend developer required - html css js,1
None,Yes,Yes,None,None,None,No,No,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Inactive,Few,Telegram,Low,Yes,Poor,In-Person,WhatsApp,No,Has Questions,Inactive,None,Present,No,Yes,None,Frontend developer required - html css js,0
No,No,Yes,Yes,None,Yes,None,No,None,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Active,Few,Naukri,Realistic,Yes,Poor,In-Person,Email,No,Has Questions,Active,Negative,None,Yes,None,None,Urgent requirement for developer. Apply now with resume,1
No,Yes,None,No,Yes,No,None,Yes,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Inactive,Few,Telegram,Realistic,No,Good,In-Person,Call,No,Has Questions,Inactive,Negative,Present,No,None,No,Looking for software engineer with 2+ years experience in python and django,0
None,None,No,No,Yes,None,Yes,None,Yes,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Active,Few,LinkedIn,High,No,Poor,Video,Email,Yes,Has Questions,Active,Positive,Present,No,No,None,Frontend developer required - html css js,1
None,No,None,Yes,None,None,Yes,Yes,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Inactive,Few,Naukri,Realistic,No,Average,Phone,Telegram,Yes,Has Questions,Inactive,Positive,Present,No,Yes,No,Urgent requirement for developer. Apply now with resume,1
None,Yes,Yes,No,No,No,No,None,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Active,Few,Indeed,Realistic,No,Average,Video,Telegram,Yes,Has Questions,Active,None,None,No,None,None,Hiring marketing executive with good comm skills and sales experience,0
No,None,No,None,No,Yes,Yes,None,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Yahoo,Inactive,Few,Telegram,High,No,Average,In-Person,Telegram,Yes,Has Questions,Inactive,Positive,Present,Yes,Yes,No,Frontend developer required - html css js,0
Yes,No,None,Yes,Yes,None,No,None,No,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Active,Few,WhatsApp,Realistic,Yes,Poor,None,Call,No,Has Questions,Inactive,None,None,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,0
None,No,None,Yes,No,No,Yes,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Active,None,LinkedIn,High,No,Poor,Video,Telegram,No,Has Questions,Active,Negative,Present,Yes,None,No,Hiring marketing executive with good comm skills and sales experience,0
None,None,No,None,Yes,No,No,No,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Active,None,Indeed,Realistic,No,Average,Video,Email,No,Has Questions,Inactive,None,None,Yes,None,Yes,Looking for software engineer with 2+ years experience in python and django,1
Yes,No,Yes,No,Yes,None,None,None,No,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,Few,LinkedIn,High,Yes,Poor,Phone,Call,Yes,Has Questions,Inactive,Negative,None,Yes,Yes,Yes,Frontend developer required - html css js,1
None,None,Yes,None,None,No,Yes,None,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Active,Many,LinkedIn,Realistic,No,Poor,Phone,WhatsApp,No,Has Questions,Inactive,Positive,Present,Yes,Yes,Yes,Looking for software engineer with 2+ years experience in python and django,0
No,Yes,Yes,No,None,Yes,None,None,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Yahoo,Inactive,None,LinkedIn,High,Yes,Good,None,WhatsApp,Yes,Has Questions,Inactive,Negative,Present,No,None,No,Hiring marketing executive with good comm skills and sales experience,0
Yes,None,None,Yes,None,None,Yes,Yes,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Inactive,None,Naukri,Low,No,Average,In-Person,Email,No,Has Questions,Active,Negative,Present,No,No,None,Urgent requirement for developer. Apply now with resume,1
None,Yes,None,No,No,None,None,No,Yes,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Active,Many,Telegram,High,Yes,Good,Phone,Telegram,Yes,Has Questions,Inactive,Negative,Present,Yes,None,No,Hiring marketing executive with good comm skills and sales experience,0
None,None,None,None,Yes,None,Yes,No,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,Many,WhatsApp,Realistic,No,Good,Video,Telegram,Yes,Has Questions,Inactive,Positive,Present,Yes,None,None,Looking for software engineer with 2+ years experience in python and django,1
